127.0.0.1 - - [09/Sep/2022:11:20:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:20:19 +0530] "GET /SandwichStore/index.jsp HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:20:19 +0530] "GET /SandwichStore/images/sand1.png HTTP/1.1" 200 125881
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:20:19 +0530] "GET /SandwichStore/css/index.css HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:20:19 +0530] "GET /SandwichStore/images/sand2.png HTTP/1.1" 200 307612
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:20:19 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:20:23 +0530] "GET /SandwichStore/SignUp.jsp HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:20:23 +0530] "GET /SandwichStore/css/SignUp.css HTTP/1.1" 200 1732
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:20:23 +0530] "GET /SandwichStore/images/veg.jpg HTTP/1.1" 200 28768
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:20:23 +0530] "GET /SandwichStore/Scripts/SignUpValidation.js HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:20:25 +0530] "GET /SandwichStore/login.jsp HTTP/1.1" 200 2134
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:20:25 +0530] "GET /SandwichStore/images/google.jpeg HTTP/1.1" 200 5833
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:20:25 +0530] "GET /SandwichStore/css/login.css HTTP/1.1" 200 1790
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:20:34 +0530] "POST /SandwichStore/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:20:34 +0530] "GET /SandwichStore/SandPages.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:20:34 +0530] "GET /SandwichStore/css/SandPages.css HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:35:28 +0530] "GET /SandwichStore/index.jsp HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:35:30 +0530] "GET /SandwichStore/SignUp.jsp HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:37:40 +0530] "POST /SandwichStore/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2022:11:37:40 +0530] "GET /SandwichStore/index.jsp HTTP/1.1" 200 794
